"Region","Hazard.Event","Quarter","Year","Duration","Fatalities","Injuries","Property.Damage","Census2021","Census2020","Census2019","Percent.over18","Percent.age.65.over","HousingUnits","Owner-OccupiedHU","MedianValue.Owner-OccupiedHU","Median.Monthly.Homeowner.Housing.Costs","Median.Rent","Building.Permits2021","LaborForce","AccoFSSales","HCSASales2017","TWSales2017","RetailSales2017","RetailSales2017PC","HH2016-2020","PersonsPHH2016-2020","MedianHHIncome","PriorYear.PCIncome","Poverty","Num.Employers","Total.Employment2020","Total.Annual.Payroll","Population.hectare","Land.hectares","GDP2020","GDP2019","Temp.HousingCost.Disaster","PropertyLevel1","PropertyLevel2","PropertyLevel3","PropertyLevel4","PropertyLevel5","PropertyLevel6","PropertyLevel7","PropertyLevel8","PropertyLevel9","PropertyLevel10","PropertyLevel11","PropertyLevel12","PropertyLevel13","Hazard.Cluster"
"1","Drought/Heat",3,1999,6,16,0,0,6406008,6306408,5414700,0.772,0.165,2791896,1904073,260765,1726,1260,95568,0.648,22342094,51556220,13500228,120644546,19811,2376180,2.55,82459,45482,0.121,170172,2990424,186551503,2.58,2442659,531771287,534828123,1920,0.043,0.0459,0.0695,0.1604,0.1078,0.0818,0.2292,0.1151,0.0528,0.0573,0.0199,0.0113,0.006,"TDH"
"1","Severe Weather",3,1999,1,0,0,1006887,6406008,6306408,5414700,0.772,0.165,2791896,1904073,260765,1726,1260,95568,0.648,22342094,51556220,13500228,120644546,19811,2376180,2.55,82459,45482,0.121,170172,2990424,186551503,2.58,2442659,531771287,534828123,1920,0.043,0.0459,0.0695,0.1604,0.1078,0.0818,0.2292,0.1151,0.0528,0.0573,0.0199,0.0113,0.006,"Severe Weather"
"2","Severe Weather",3,1999,1,0,12,0,4386948,4212348,3231492,0.827,0.261,2523732,1862514,248083,1644,1287,83640,0.553,36406400,26864638,2862506,104661514,26171,1634628,2.49,68123,38381,0.128,113688,1412112,60187999,1.19,3522311,222153795,223457321,1829,0.0633,0.0537,0.0693,0.1531,0.112,0.0947,0.2444,0.1126,0.0486,0.031,0.008,0.0056,0.0037,"Severe Weather"
"5","Severe Weather",3,1999,1,0,0,12000604,1257096,1266672,1289472,0.76,0.172,566592,365451,158255,1438,1068,4656,0.557,2611585,9541905,2307892,17600539,13758,500448,2.5,61518,32418,0.205,21132,388428,20694659,0.61,2067059,69643447,68360180,1599,0.0996,0.1397,0.1891,0.1867,0.1192,0.0679,0.126,0.0419,0.0139,0.009,0.0018,3e-04,0.0049,"Severe Weather"
"1","Flooding",3,1997,1,0,0,1678568,6406008,6306408,5414700,0.772,0.165,2791896,1904073,260765,1726,1260,95568,0.648,22342094,51556220,13500228,120644546,19811,2376180,2.55,82459,45482,0.121,170172,2990424,186551503,2.58,2442659,531771287,534828123,1920,0.043,0.0459,0.0695,0.1604,0.1078,0.0818,0.2292,0.1151,0.0528,0.0573,0.0199,0.0113,0.006,"FH"
"4","Severe Weather",3,1997,1,0,0,4648123,995544,1010676,1110012,0.781,0.209,496548,333680,121135,1474,923,1080,0.549,2774258,6658061,2234577,16147988,15350,403548,2.5,48615,28186,0.191,18924,284904,14470878,0.29,3438613,45815957,46354925,1639,0.1882,0.1888,0.1578,0.1726,0.0876,0.0337,0.1013,0.0291,0.0183,0.0108,0.0026,0.006,0.0032,"Severe Weather"
"5","Severe Weather",3,1997,1,0,0,3360901,1257096,1266672,1289472,0.76,0.172,566592,365451,158255,1438,1068,4656,0.557,2611585,9541905,2307892,17600539,13758,500448,2.5,61518,32418,0.205,21132,388428,20694659,0.61,2067059,69643447,68360180,1599,0.0996,0.1397,0.1891,0.1867,0.1192,0.0679,0.126,0.0419,0.0139,0.009,0.0018,3e-04,0.0049,"Severe Weather"
"1","Severe Weather",1,1997,1,0,0,594132,6406008,6306408,5414700,0.772,0.165,2791896,1904073,260765,1726,1260,95568,0.648,22342094,51556220,13500228,120644546,19811,2376180,2.55,82459,45482,0.121,170172,2990424,186551503,2.58,2442659,531771287,534828123,1920,0.043,0.0459,0.0695,0.1604,0.1078,0.0818,0.2292,0.1151,0.0528,0.0573,0.0199,0.0113,0.006,"Severe Weather"
"1","Severe Weather",2,1997,1,0,68,44940,6406008,6306408,5414700,0.772,0.165,2791896,1904073,260765,1726,1260,95568,0.648,22342094,51556220,13500228,120644546,19811,2376180,2.55,82459,45482,0.121,170172,2990424,186551503,2.58,2442659,531771287,534828123,1920,0.043,0.0459,0.0695,0.1604,0.1078,0.0818,0.2292,0.1151,0.0528,0.0573,0.0199,0.0113,0.006,"Severe Weather"
"2","Severe Weather",4,1997,1,0,0,75582,4386948,4212348,3231492,0.827,0.261,2523732,1862514,248083,1644,1287,83640,0.553,36406400,26864638,2862506,104661514,26171,1634628,2.49,68123,38381,0.128,113688,1412112,60187999,1.19,3522311,222153795,223457321,1829,0.0633,0.0537,0.0693,0.1531,0.112,0.0947,0.2444,0.1126,0.0486,0.031,0.008,0.0056,0.0037,"Severe Weather"
"2","Severe Weather",3,1997,1,0,25,8266818,4386948,4212348,3231492,0.827,0.261,2523732,1862514,248083,1644,1287,83640,0.553,36406400,26864638,2862506,104661514,26171,1634628,2.49,68123,38381,0.128,113688,1412112,60187999,1.19,3522311,222153795,223457321,1829,0.0633,0.0537,0.0693,0.1531,0.112,0.0947,0.2444,0.1126,0.0486,0.031,0.008,0.0056,0.0037,"Severe Weather"
"4","Severe Weather",3,1997,1,0,49,487401,995544,1010676,1110012,0.781,0.209,496548,333680,121135,1474,923,1080,0.549,2774258,6658061,2234577,16147988,15350,403548,2.5,48615,28186,0.191,18924,284904,14470878,0.29,3438613,45815957,46354925,1639,0.1882,0.1888,0.1578,0.1726,0.0876,0.0337,0.1013,0.0291,0.0183,0.0108,0.0026,0.006,0.0032,"Severe Weather"
"4","Severe Weather",2,1997,1,0,49,0,995544,1010676,1110012,0.781,0.209,496548,333680,121135,1474,923,1080,0.549,2774258,6658061,2234577,16147988,15350,403548,2.5,48615,28186,0.191,18924,284904,14470878,0.29,3438613,45815957,46354925,1639,0.1882,0.1888,0.1578,0.1726,0.0876,0.0337,0.1013,0.0291,0.0183,0.0108,0.0026,0.006,0.0032,"Severe Weather"
"3","Severe Weather",3,1997,1,0,0,313904,5019684,4993764,4614048,0.785,0.137,2212536,1323096,221267,1731,1318,39156,0.627,17508375,70145543,3929251,86911348,17558,1865736,2.47,71916,40937,0.16,110220,1941528,116972082,2.12,2353615,417708522,414066160,1925,0.0356,0.0623,0.1123,0.2161,0.1053,0.0761,0.1894,0.1008,0.0434,0.0426,0.0087,0.0036,0.0038,"Severe Weather"
"3","Severe Weather",2,1997,1,0,10,287238,5019684,4993764,4614048,0.785,0.137,2212536,1323096,221267,1731,1318,39156,0.627,17508375,70145543,3929251,86911348,17558,1865736,2.47,71916,40937,0.16,110220,1941528,116972082,2.12,2353615,417708522,414066160,1925,0.0356,0.0623,0.1123,0.2161,0.1053,0.0761,0.1894,0.1008,0.0434,0.0426,0.0087,0.0036,0.0038,"Severe Weather"
"3","Severe Weather",4,1997,1,0,0,34138,5019684,4993764,4614048,0.785,0.137,2212536,1323096,221267,1731,1318,39156,0.627,17508375,70145543,3929251,86911348,17558,1865736,2.47,71916,40937,0.16,110220,1941528,116972082,2.12,2353615,417708522,414066160,1925,0.0356,0.0623,0.1123,0.2161,0.1053,0.0761,0.1894,0.1008,0.0434,0.0426,0.0087,0.0036,0.0038,"Severe Weather"
"3","Severe Weather",1,1997,1,0,0,86147,5019684,4993764,4614048,0.785,0.137,2212536,1323096,221267,1731,1318,39156,0.627,17508375,70145543,3929251,86911348,17558,1865736,2.47,71916,40937,0.16,110220,1941528,116972082,2.12,2353615,417708522,414066160,1925,0.0356,0.0623,0.1123,0.2161,0.1053,0.0761,0.1894,0.1008,0.0434,0.0426,0.0087,0.0036,0.0038,"Severe Weather"
"5","Severe Weather",2,1997,1,0,0,748293,1257096,1266672,1289472,0.76,0.172,566592,365451,158255,1438,1068,4656,0.557,2611585,9541905,2307892,17600539,13758,500448,2.5,61518,32418,0.205,21132,388428,20694659,0.61,2067059,69643447,68360180,1599,0.0996,0.1397,0.1891,0.1867,0.1192,0.0679,0.126,0.0419,0.0139,0.009,0.0018,3e-04,0.0049,"Severe Weather"
"1","Severe Weather",3,1997,1,0,0,80773,6406008,6306408,5414700,0.772,0.165,2791896,1904073,260765,1726,1260,95568,0.648,22342094,51556220,13500228,120644546,19811,2376180,2.55,82459,45482,0.121,170172,2990424,186551503,2.58,2442659,531771287,534828123,1920,0.043,0.0459,0.0695,0.1604,0.1078,0.0818,0.2292,0.1151,0.0528,0.0573,0.0199,0.0113,0.006,"Severe Weather"
"1","Severe Weather",3,1997,1,0,0,376247,6406008,6306408,5414700,0.772,0.165,2791896,1904073,260765,1726,1260,95568,0.648,22342094,51556220,13500228,120644546,19811,2376180,2.55,82459,45482,0.121,170172,2990424,186551503,2.58,2442659,531771287,534828123,1920,0.043,0.0459,0.0695,0.1604,0.1078,0.0818,0.2292,0.1151,0.0528,0.0573,0.0199,0.0113,0.006,"Severe Weather"
"1","Severe Weather",1,1996,1,0,0,232643,6406008,6306408,5414700,0.772,0.165,2791896,1904073,260765,1726,1260,95568,0.648,22342094,51556220,13500228,120644546,19811,2376180,2.55,82459,45482,0.121,170172,2990424,186551503,2.58,2442659,531771287,534828123,1920,0.043,0.0459,0.0695,0.1604,0.1078,0.0818,0.2292,0.1151,0.0528,0.0573,0.0199,0.0113,0.006,"Severe Weather"
"1","Severe Weather",1,1996,1,0,0,6042782,6406008,6306408,5414700,0.772,0.165,2791896,1904073,260765,1726,1260,95568,0.648,22342094,51556220,13500228,120644546,19811,2376180,2.55,82459,45482,0.121,170172,2990424,186551503,2.58,2442659,531771287,534828123,1920,0.043,0.0459,0.0695,0.1604,0.1078,0.0818,0.2292,0.1151,0.0528,0.0573,0.0199,0.0113,0.006,"Severe Weather"
"1","Severe Weather",1,1996,1,0,0,241536,6406008,6306408,5414700,0.772,0.165,2791896,1904073,260765,1726,1260,95568,0.648,22342094,51556220,13500228,120644546,19811,2376180,2.55,82459,45482,0.121,170172,2990424,186551503,2.58,2442659,531771287,534828123,1920,0.043,0.0459,0.0695,0.1604,0.1078,0.0818,0.2292,0.1151,0.0528,0.0573,0.0199,0.0113,0.006,"Severe Weather"
"1","Severe Weather",2,1996,1,0,0,248075,6406008,6306408,5414700,0.772,0.165,2791896,1904073,260765,1726,1260,95568,0.648,22342094,51556220,13500228,120644546,19811,2376180,2.55,82459,45482,0.121,170172,2990424,186551503,2.58,2442659,531771287,534828123,1920,0.043,0.0459,0.0695,0.1604,0.1078,0.0818,0.2292,0.1151,0.0528,0.0573,0.0199,0.0113,0.006,"Severe Weather"
"1","Severe Weather",2,1996,1,0,0,162165,6406008,6306408,5414700,0.772,0.165,2791896,1904073,260765,1726,1260,95568,0.648,22342094,51556220,13500228,120644546,19811,2376180,2.55,82459,45482,0.121,170172,2990424,186551503,2.58,2442659,531771287,534828123,1920,0.043,0.0459,0.0695,0.1604,0.1078,0.0818,0.2292,0.1151,0.0528,0.0573,0.0199,0.0113,0.006,"Severe Weather"
"1","Severe Weather",2,1996,1,0,0,74623,6406008,6306408,5414700,0.772,0.165,2791896,1904073,260765,1726,1260,95568,0.648,22342094,51556220,13500228,120644546,19811,2376180,2.55,82459,45482,0.121,170172,2990424,186551503,2.58,2442659,531771287,534828123,1920,0.043,0.0459,0.0695,0.1604,0.1078,0.0818,0.2292,0.1151,0.0528,0.0573,0.0199,0.0113,0.006,"Severe Weather"
"1","Severe Weather",3,1996,1,0,0,217806,6406008,6306408,5414700,0.772,0.165,2791896,1904073,260765,1726,1260,95568,0.648,22342094,51556220,13500228,120644546,19811,2376180,2.55,82459,45482,0.121,170172,2990424,186551503,2.58,2442659,531771287,534828123,1920,0.043,0.0459,0.0695,0.1604,0.1078,0.0818,0.2292,0.1151,0.0528,0.0573,0.0199,0.0113,0.006,"Severe Weather"
"1","Severe Weather",3,1996,1,0,0,314408,6406008,6306408,5414700,0.772,0.165,2791896,1904073,260765,1726,1260,95568,0.648,22342094,51556220,13500228,120644546,19811,2376180,2.55,82459,45482,0.121,170172,2990424,186551503,2.58,2442659,531771287,534828123,1920,0.043,0.0459,0.0695,0.1604,0.1078,0.0818,0.2292,0.1151,0.0528,0.0573,0.0199,0.0113,0.006,"Severe Weather"
"1","Severe Weather",3,1996,1,0,0,173072,6406008,6306408,5414700,0.772,0.165,2791896,1904073,260765,1726,1260,95568,0.648,22342094,51556220,13500228,120644546,19811,2376180,2.55,82459,45482,0.121,170172,2990424,186551503,2.58,2442659,531771287,534828123,1920,0.043,0.0459,0.0695,0.1604,0.1078,0.0818,0.2292,0.1151,0.0528,0.0573,0.0199,0.0113,0.006,"Severe Weather"
"1","Severe Weather",3,1996,1,0,0,305848,6406008,6306408,5414700,0.772,0.165,2791896,1904073,260765,1726,1260,95568,0.648,22342094,51556220,13500228,120644546,19811,2376180,2.55,82459,45482,0.121,170172,2990424,186551503,2.58,2442659,531771287,534828123,1920,0.043,0.0459,0.0695,0.1604,0.1078,0.0818,0.2292,0.1151,0.0528,0.0573,0.0199,0.0113,0.006,"Severe Weather"
"1","Severe Weather",1,1996,1,23,0,0,6406008,6306408,5414700,0.772,0.165,2791896,1904073,260765,1726,1260,95568,0.648,22342094,51556220,13500228,120644546,19811,2376180,2.55,82459,45482,0.121,170172,2990424,186551503,2.58,2442659,531771287,534828123,1920,0.043,0.0459,0.0695,0.1604,0.1078,0.0818,0.2292,0.1151,0.0528,0.0573,0.0199,0.0113,0.006,"Severe Weather"
"2","Severe Weather",1,1996,1,0,0,8658,4386948,4212348,3231492,0.827,0.261,2523732,1862514,248083,1644,1287,83640,0.553,36406400,26864638,2862506,104661514,26171,1634628,2.49,68123,38381,0.128,113688,1412112,60187999,1.19,3522311,222153795,223457321,1829,0.0633,0.0537,0.0693,0.1531,0.112,0.0947,0.2444,0.1126,0.0486,0.031,0.008,0.0056,0.0037,"Severe Weather"
"2","Flooding",3,1996,1,0,0,2882844,4386948,4212348,3231492,0.827,0.261,2523732,1862514,248083,1644,1287,83640,0.553,36406400,26864638,2862506,104661514,26171,1634628,2.49,68123,38381,0.128,113688,1412112,60187999,1.19,3522311,222153795,223457321,1829,0.0633,0.0537,0.0693,0.1531,0.112,0.0947,0.2444,0.1126,0.0486,0.031,0.008,0.0056,0.0037,"FH"
"2","Hurricane",3,1996,1,0,0,13037192,4386948,4212348,3231492,0.827,0.261,2523732,1862514,248083,1644,1287,83640,0.553,36406400,26864638,2862506,104661514,26171,1634628,2.49,68123,38381,0.128,113688,1412112,60187999,1.19,3522311,222153795,223457321,1829,0.0633,0.0537,0.0693,0.1531,0.112,0.0947,0.2444,0.1126,0.0486,0.031,0.008,0.0056,0.0037,"FH"
"2","Severe Weather",3,1996,1,0,0,167761,4386948,4212348,3231492,0.827,0.261,2523732,1862514,248083,1644,1287,83640,0.553,36406400,26864638,2862506,104661514,26171,1634628,2.49,68123,38381,0.128,113688,1412112,60187999,1.19,3522311,222153795,223457321,1829,0.0633,0.0537,0.0693,0.1531,0.112,0.0947,0.2444,0.1126,0.0486,0.031,0.008,0.0056,0.0037,"Severe Weather"
"2","Hurricane",3,1996,1,10,0,14333378,4386948,4212348,3231492,0.827,0.261,2523732,1862514,248083,1644,1287,83640,0.553,36406400,26864638,2862506,104661514,26171,1634628,2.49,68123,38381,0.128,113688,1412112,60187999,1.19,3522311,222153795,223457321,1829,0.0633,0.0537,0.0693,0.1531,0.112,0.0947,0.2444,0.1126,0.0486,0.031,0.008,0.0056,0.0037,"FH"
"4","Severe Weather",2,1996,1,0,11,0,995544,1010676,1110012,0.781,0.209,496548,333680,121135,1474,923,1080,0.549,2774258,6658061,2234577,16147988,15350,403548,2.5,48615,28186,0.191,18924,284904,14470878,0.29,3438613,45815957,46354925,1639,0.1882,0.1888,0.1578,0.1726,0.0876,0.0337,0.1013,0.0291,0.0183,0.0108,0.0026,0.006,0.0032,"Severe Weather"
"4","Severe Weather",3,1996,1,0,0,3064508,995544,1010676,1110012,0.781,0.209,496548,333680,121135,1474,923,1080,0.549,2774258,6658061,2234577,16147988,15350,403548,2.5,48615,28186,0.191,18924,284904,14470878,0.29,3438613,45815957,46354925,1639,0.1882,0.1888,0.1578,0.1726,0.0876,0.0337,0.1013,0.0291,0.0183,0.0108,0.0026,0.006,0.0032,"Severe Weather"
"3","Flooding",1,1996,1,0,0,85949,5019684,4993764,4614048,0.785,0.137,2212536,1323096,221267,1731,1318,39156,0.627,17508375,70145543,3929251,86911348,17558,1865736,2.47,71916,40937,0.16,110220,1941528,116972082,2.12,2353615,417708522,414066160,1925,0.0356,0.0623,0.1123,0.2161,0.1053,0.0761,0.1894,0.1008,0.0434,0.0426,0.0087,0.0036,0.0038,"FH"
"3","Severe Weather",3,1996,1,0,0,1733016,5019684,4993764,4614048,0.785,0.137,2212536,1323096,221267,1731,1318,39156,0.627,17508375,70145543,3929251,86911348,17558,1865736,2.47,71916,40937,0.16,110220,1941528,116972082,2.12,2353615,417708522,414066160,1925,0.0356,0.0623,0.1123,0.2161,0.1053,0.0761,0.1894,0.1008,0.0434,0.0426,0.0087,0.0036,0.0038,"Severe Weather"
"1","Severe Weather",1,1992,1,0,0,833815,6406008,6306408,5414700,0.772,0.165,2791896,1904073,260765,1726,1260,95568,0.648,22342094,51556220,13500228,120644546,19811,2376180,2.55,82459,45482,0.121,170172,2990424,186551503,2.58,2442659,531771287,534828123,1920,0.043,0.0459,0.0695,0.1604,0.1078,0.0818,0.2292,0.1151,0.0528,0.0573,0.0199,0.0113,0.006,"Severe Weather"
"1","Severe Weather",2,1992,1,0,0,737197,6406008,6306408,5414700,0.772,0.165,2791896,1904073,260765,1726,1260,95568,0.648,22342094,51556220,13500228,120644546,19811,2376180,2.55,82459,45482,0.121,170172,2990424,186551503,2.58,2442659,531771287,534828123,1920,0.043,0.0459,0.0695,0.1604,0.1078,0.0818,0.2292,0.1151,0.0528,0.0573,0.0199,0.0113,0.006,"Severe Weather"
"1","Severe Weather",3,1992,1,0,0,760578,6406008,6306408,5414700,0.772,0.165,2791896,1904073,260765,1726,1260,95568,0.648,22342094,51556220,13500228,120644546,19811,2376180,2.55,82459,45482,0.121,170172,2990424,186551503,2.58,2442659,531771287,534828123,1920,0.043,0.0459,0.0695,0.1604,0.1078,0.0818,0.2292,0.1151,0.0528,0.0573,0.0199,0.0113,0.006,"Severe Weather"
"6","Drought/Heat",3,1993,31,0,0,95598307,313836,307884,323820,0.827,0.2,135480,102693,175164,1486,882,2328,0.51,151132,697773,0,2241932,6959,110052,2.65,69340,35948,0.168,3888,65676,2989576,0.19,1556199,9845914,9766147,1653,0.0759,0.1579,0.1336,0.1605,0.1025,0.0582,0.1702,0.0801,0.0305,0.0158,0.0108,0,0.004,"TDH"
"1","Drought/Heat",3,1993,31,0,0,90630980,6406008,6306408,5414700,0.772,0.165,2791896,1904073,260765,1726,1260,95568,0.648,22342094,51556220,13500228,120644546,19811,2376180,2.55,82459,45482,0.121,170172,2990424,186551503,2.58,2442659,531771287,534828123,1920,0.043,0.0459,0.0695,0.1604,0.1078,0.0818,0.2292,0.1151,0.0528,0.0573,0.0199,0.0113,0.006,"TDH"
"2","Drought/Heat",3,1993,31,0,0,98937152,4386948,4212348,3231492,0.827,0.261,2523732,1862514,248083,1644,1287,83640,0.553,36406400,26864638,2862506,104661514,26171,1634628,2.49,68123,38381,0.128,113688,1412112,60187999,1.19,3522311,222153795,223457321,1829,0.0633,0.0537,0.0693,0.1531,0.112,0.0947,0.2444,0.1126,0.0486,0.031,0.008,0.0056,0.0037,"TDH"
"4","Drought/Heat",3,1993,31,0,0,84389979,995544,1010676,1110012,0.781,0.209,496548,333680,121135,1474,923,1080,0.549,2774258,6658061,2234577,16147988,15350,403548,2.5,48615,28186,0.191,18924,284904,14470878,0.29,3438613,45815957,46354925,1639,0.1882,0.1888,0.1578,0.1726,0.0876,0.0337,0.1013,0.0291,0.0183,0.0108,0.0026,0.006,0.0032,"TDH"
"3","Drought/Heat",3,1993,31,0,0,91558942,5019684,4993764,4614048,0.785,0.137,2212536,1323096,221267,1731,1318,39156,0.627,17508375,70145543,3929251,86911348,17558,1865736,2.47,71916,40937,0.16,110220,1941528,116972082,2.12,2353615,417708522,414066160,1925,0.0356,0.0623,0.1123,0.2161,0.1053,0.0761,0.1894,0.1008,0.0434,0.0426,0.0087,0.0036,0.0038,"TDH"
"5","Drought/Heat",3,1993,31,0,0,89584748,1257096,1266672,1289472,0.76,0.172,566592,365451,158255,1438,1068,4656,0.557,2611585,9541905,2307892,17600539,13758,500448,2.5,61518,32418,0.205,21132,388428,20694659,0.61,2067059,69643447,68360180,1599,0.0996,0.1397,0.1891,0.1867,0.1192,0.0679,0.126,0.0419,0.0139,0.009,0.0018,3e-04,0.0049,"TDH"
"1","Severe Weather",3,1993,1,0,0,2919938,6406008,6306408,5414700,0.772,0.165,2791896,1904073,260765,1726,1260,95568,0.648,22342094,51556220,13500228,120644546,19811,2376180,2.55,82459,45482,0.121,170172,2990424,186551503,2.58,2442659,531771287,534828123,1920,0.043,0.0459,0.0695,0.1604,0.1078,0.0818,0.2292,0.1151,0.0528,0.0573,0.0199,0.0113,0.006,"Severe Weather"
"1","Flooding",3,1993,1,0,0,826761,6406008,6306408,5414700,0.772,0.165,2791896,1904073,260765,1726,1260,95568,0.648,22342094,51556220,13500228,120644546,19811,2376180,2.55,82459,45482,0.121,170172,2990424,186551503,2.58,2442659,531771287,534828123,1920,0.043,0.0459,0.0695,0.1604,0.1078,0.0818,0.2292,0.1151,0.0528,0.0573,0.0199,0.0113,0.006,"FH"
"1","Severe Weather",3,1993,1,0,0,7700901,6406008,6306408,5414700,0.772,0.165,2791896,1904073,260765,1726,1260,95568,0.648,22342094,51556220,13500228,120644546,19811,2376180,2.55,82459,45482,0.121,170172,2990424,186551503,2.58,2442659,531771287,534828123,1920,0.043,0.0459,0.0695,0.1604,0.1078,0.0818,0.2292,0.1151,0.0528,0.0573,0.0199,0.0113,0.006,"Severe Weather"
"6","Severe Weather",1,1994,1,12,0,0,313836,307884,323820,0.827,0.2,135480,102693,175164,1486,882,2328,0.51,151132,697773,0,2241932,6959,110052,2.65,69340,35948,0.168,3888,65676,2989576,0.19,1556199,9845914,9766147,1653,0.0759,0.1579,0.1336,0.1605,0.1025,0.0582,0.1702,0.0801,0.0305,0.0158,0.0108,0,0.004,"Severe Weather"
