Region,Hazard Event,Quarter,Year,Duration,Fatalities,Injuries,Property Damage
1,Severe Storm/Thunder Storm,2,1992,1,0,0,737197
1,Severe Storm/Thunder Storm/ Wind,3,1992,1,0,0,760578
6,Heat,2,1993,30,0,0,0
1,Heat,2,1993,30,0,0,0
2,Heat,2,1993,30,0,0,0
4,Heat,2,1993,30,0,0,0
3,Heat,2,1993,30,0,0,0
5,Heat,2,1993,30,0,0,0
6,Drought/ Heat,3,1993,31,0,0,95598307
1,Drought/ Heat,3,1993,31,0,0,90630980
2,Drought/ Heat,3,1993,31,0,0,98937152
4,Drought/ Heat,3,1993,31,0,0,84389979
3,Drought/ Heat,3,1993,31,0,0,91558942
5,Drought/ Heat,3,1993,31,0,0,89584748
1,Hail/ Severe Storm/Thunder Storm/ Wind,3,1993,1,0,0,2919938
1,Flooding,3,1993,1,0,0,826761
1,Lightning/ Severe Storm/Thunder Storm,3,1993,1,0,0,7700901
6,Winter Weather,1,1994,1,12,0,0
6,Drought,2,1994,31,0,0,0
1,Drought,2,1994,31,0,0,0
2,Drought,2,1994,31,0,0,0
4,Drought,2,1994,31,0,0,0
3,Drought,2,1994,31,0,0,0
5,Drought,2,1994,31,0,0,0
2,Flooding,2,1994,1,0,0,368757
1,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,3,1994,1,0,0,762956
4,Flooding,3,1994,1,0,0,732203
1,Flooding,3,1994,1,0,0,776351
1,Lightning,3,1994,1,0,0,754396
2,Flooding,4,1994,1,0,0,4088230
2,Flooding/ Severe Storm/Thunder Storm,4,1994,2,0,0,1176472
1,Winter Weather,1,1995,1,0,0,155349
4,Severe Storm/Thunder Storm/ Wind,1,1995,1,0,0,14620
4,Severe Storm/Thunder Storm/ Wind,1,1995,1,0,0,844515
4,Flooding,1,1995,1,0,0,155714
5,Flooding/ Severe Storm/Thunder Storm/ Wind,1,1995,1,0,0,86924
2,Severe Storm/Thunder Storm/ Wind,1,1995,1,0,0,161135
1,Severe Storm/Thunder Storm/ Wind,1,1995,1,0,0,85703
1,Lightning,1,1995,1,0,0,26499
1,Flooding,1,1995,1,0,0,231098
4,Flooding,1,1995,3,0,0,14569
1,Wind,1,1995,1,0,0,142668
4,Hail,2,1995,1,0,0,83191
6,Hail,2,1995,1,0,0,164971
3,Hail,2,1995,1,0,0,29573
5,Hail,2,1995,1,0,0,29706
6,Drought,2,1995,31,0,0,0
1,Drought,2,1995,31,0,0,0
2,Drought,2,1995,31,0,0,0
4,Drought,2,1995,31,0,0,0
3,Drought,2,1995,31,0,0,0
5,Drought,2,1995,31,0,0,0
4,Severe Storm/Thunder Storm/ Wind,2,1995,1,0,0,14534
2,Severe Storm/Thunder Storm/ Wind,2,1995,1,0,23,0
3,Severe Storm/Thunder Storm/ Wind,2,1995,1,0,0,226865
5,Severe Storm/Thunder Storm/ Wind,2,1995,1,0,0,16975
1,Severe Storm/Thunder Storm/ Wind,2,1995,1,0,0,31184
4,Severe Storm/Thunder Storm/ Wind,2,1995,1,0,0,85141
2,Flooding,2,1995,1,0,0,241560
2,Flooding,2,1995,1,0,0,31012
6,Severe Storm/Thunder Storm/ Wind,2,1995,1,0,0,155333
1,Severe Storm/Thunder Storm/ Wind,2,1995,1,0,0,34484
3,Severe Storm/Thunder Storm/ Wind,2,1995,1,0,0,845387
1,Severe Storm/Thunder Storm/ Wind,2,1995,1,0,0,427647
4,Severe Storm/Thunder Storm/ Wind,2,1995,1,0,0,15038
5,Severe Storm/Thunder Storm/ Wind,2,1995,1,0,0,30575
2,Severe Storm/Thunder Storm/ Wind,2,1995,1,0,0,32664
3,Severe Storm/Thunder Storm/ Wind,2,1995,1,0,0,149405
2,Lightning,2,1995,1,0,12,0
5,Severe Storm/Thunder Storm/ Wind,2,1995,1,0,0,71841
3,Severe Storm/Thunder Storm,2,1995,1,0,0,79275
3,Lightning,3,1995,1,11,44,0
3,Hail,3,1995,1,0,0,158615
2,Lightning,3,1995,1,0,21,0
2,Severe Storm/Thunder Storm/ Wind,3,1995,1,0,0,51850
2,Heat,3,1995,1,12,0,0
1,Heat,3,1995,1,13,0,0
1,Flooding,3,1995,1,11,59,78721032
1,Flooding,3,1995,1,0,0,8520450
4,Severe Storm/Thunder Storm/ Wind,4,1995,1,0,0,171106
1,Wind,4,1995,1,0,0,611257
1,Winter Weather,4,1995,1,12,0,0
1,Flooding,1,1998,2,0,0,865202
1,Wind,1,1998,1,0,0,162736
2,Severe Storm/Thunder Storm/ Wind,1,1998,1,0,0,65354
2,Lightning,2,1998,1,0,0,449784
2,Severe Storm/Thunder Storm/ Wind,2,1998,1,0,0,306450
1,Severe Storm/Thunder Storm/ Wind,2,1998,1,0,36,0
1,Severe Storm/Thunder Storm/ Wind,2,1998,1,0,0,310730
2,Severe Storm/Thunder Storm/ Wind,2,1998,1,0,0,818518
2,Hail,2,1998,1,0,0,719997
2,Lightning,3,1998,1,0,0,1223972
2,Severe Storm/Thunder Storm/ Wind,3,1998,1,0,0,145553
2,Severe Storm/Thunder Storm/ Wind,3,1998,1,0,0,424833
1,Lightning,3,1998,1,0,0,79957
2,Lightning,3,1998,1,11,11,0
2,Severe Storm/Thunder Storm,3,1998,1,0,0,807025
2,Severe Storm/Thunder Storm/ Wind,3,1998,1,0,0,146202
3,Tornado,3,1964,1,0,0,827791
2,Tornado,3,1965,1,0,511,734185
2,Tornado,4,1965,1,0,0,764462
3,Tornado,4,1967,1,0,0,744330
6,Tornado,2,1978,1,0,0,4160753
2,Tornado,2,1973,1,0,0,783405
1,Tornado,2,1973,1,0,165,2378056
2,Tornado,1,1976,1,0,38,8490331
4,Tornado,2,1976,1,0,37,835955
3,Tornado,2,1976,1,12,37,834766
4,Tornado,4,1977,1,0,78,7364839
1,Tornado,2,1980,1,0,30,4047411
1,Tornado,1,1979,1,0,24,8174876
2,Tornado,3,1979,1,0,0,759865
2,Tornado,3,1979,1,0,0,7436965
2,Tornado,3,1979,1,0,0,799178
3,Tornado,2,1980,1,0,0,811305
1,Tornado,1,1975,1,0,52,431570
6,Tornado,4,1975,1,0,44,740288
3,Tornado,4,1975,1,0,79,748372
2,Tornado,2,1982,1,0,93,3844506
2,Tornado,2,1982,1,0,0,721503
4,Tornado,2,1983,1,0,23,766919
4,Tornado,2,1983,1,0,0,1937312
2,Tornado,1,1984,1,0,89,740288
2,Hail/ Tornado,2,1985,1,0,0,770724
2,Tornado,4,1985,1,0,0,829535
5,Tornado,4,1985,1,0,0,715162
3,Tornado,3,1987,1,0,22,729984
5,Tornado,3,1989,1,0,0,7661271
6,Tornado,4,1992,1,0,28,2099993
6,Tornado,2,1998,1,0,0,4453619
6,Tornado,2,1998,1,0,23,7597863
6,Tornado,2,1998,1,12,110,16162699
6,Tornado,2,1999,1,0,0,8175
1,Tornado,4,1995,1,0,0,1285676
1,Tornado,3,1996,1,0,0,216593
2,Tornado,4,1995,1,0,0,22876813
2,Tornado,4,1996,1,0,0,3916236
2,Tornado,2,1997,1,0,13,347475
2,Tornado,1,1998,1,0,0,411319
2,Tornado,2,1999,1,0,0,403671
4,Tornado,1,1995,1,0,0,14677
4,Tornado,4,1995,1,0,0,225034
4,Tornado,4,1995,1,0,36,3170717
4,Tornado,1,1996,1,0,0,492944
4,Tornado,1,1996,1,0,0,79299
4,Tornado,1,1998,1,0,0,1275642
4,Tornado,1,1998,1,0,0,3393627
3,Tornado,1,1995,1,0,0,164844948
3,Tornado,3,1997,1,0,11,3107974
5,Tornado,3,1996,1,0,0,1129336
5,Tornado,2,1998,1,0,0,29712
1,Hail/ Wind,1,1960,1,0,0,2334
4,Hail/ Wind,1,1960,1,0,0,2300
3,Hail/ Wind,1,1960,1,0,0,2316
5,Hail/ Wind,1,1960,1,0,0,2306
1,Winter Weather,1,1960,3,0,0,23533
4,Winter Weather,1,1960,3,0,0,20617
3,Winter Weather,1,1960,3,0,0,21192
5,Winter Weather,1,1960,3,0,0,22145
1,Winter Weather,1,1960,1,3,0,43429
4,Wind,1,1960,1,0,0,71952
6,Winter Weather,1,1961,2,0,0,17962
1,Winter Weather,1,1961,2,0,0,17459
1,Severe Storm/Thunder Storm,2,1961,2,0,0,278907
2,Winter Weather,1,1961,2,0,0,16267
2,Wind,2,1961,1,1,13,73503
4,Winter Weather,1,1961,2,0,0,17850
3,Winter Weather,1,1961,2,0,0,16278
5,Winter Weather,1,1961,2,0,0,18332
2,Coastal/ Wind,1,1962,3,3,0,11561
2,Coastal/ Wind,4,1962,8,0,0,124338
6,Hail,2,1963,1,0,0,0
6,Winter Weather,4,1963,2,0,6,167213
1,Hail,2,1963,1,0,0,0
1,Severe Storm/Thunder Storm,1,1963,2,0,0,130656
1,Hail/ Wind,2,1963,1,0,0,0
1,Winter Weather,4,1963,2,0,7,187182
1,Severe Storm/Thunder Storm,1,1963,2,2,0,136891
2,Hail,2,1963,1,0,0,0
2,Winter Weather,4,1963,2,0,6,172382
4,Hail,2,1963,1,0,0,0
4,Wind,1,1963,1,0,0,216551
4,Winter Weather,4,1963,2,0,6,171210
3,Hail,2,1963,1,0,0,0
3,Winter Weather,4,1963,2,0,7,186717
5,Hail,2,1963,1,0,0,0
5,Winter Weather,4,1963,2,0,7,177895
1,Severe Storm/Thunder Storm,2,1964,3,0,0,1191538
2,Severe Storm/Thunder Storm,2,1964,2,0,0,812494
6,Hurricane/Tropical Storm,3,1964,3,0,0,17798
1,Hurricane/Tropical Storm,3,1964,3,0,0,16362
2,Hurricane/Tropical Storm,3,1964,3,0,0,16081
4,Hurricane/Tropical Storm,3,1964,3,0,0,17397
3,Hurricane/Tropical Storm,3,1964,3,0,0,16882
5,Hurricane/Tropical Storm,3,1964,3,0,0,16937
4,Severe Storm/Thunder Storm,3,1964,2,0,0,33986
3,Severe Storm/Thunder Storm,3,1964,2,0,0,33878
5,Severe Storm/Thunder Storm,3,1964,2,0,0,33000
6,Severe Storm/Thunder Storm,4,1964,2,0,0,0
1,Severe Storm/Thunder Storm,4,1964,2,0,0,0
2,Severe Storm/Thunder Storm,4,1964,2,0,0,0
4,Severe Storm/Thunder Storm,4,1964,2,0,0,0
3,Severe Storm/Thunder Storm,4,1964,2,0,0,0
5,Severe Storm/Thunder Storm,4,1964,2,0,0,0
6,Severe Storm/Thunder Storm,4,1964,3,3,0,187458
1,Severe Storm/Thunder Storm,4,1964,3,2,0,162078
2,Severe Storm/Thunder Storm,4,1964,3,0,0,174863
4,Severe Storm/Thunder Storm,4,1964,3,1,0,185976
3,Severe Storm/Thunder Storm,4,1964,3,2,0,158822
5,Severe Storm/Thunder Storm,4,1964,3,2,0,187699
6,Flooding,1,1966,5,0,0,16314
6,Wildfire,1,1966,17,0,0,179963
6,Winter Weather,1,1966,2,1,0,0
1,Flooding,1,1966,5,0,0,16107
1,Wildfire,1,1966,17,0,0,180497
1,Winter Weather,1,1966,2,2,0,220405
1,Winter Weather,1,1966,2,2,0,0
2,Flooding,1,1966,5,0,0,17795
2,Wildfire,1,1966,17,0,0,166248
2,Winter Weather,1,1966,2,3,0,0
4,Flooding,1,1966,5,0,0,18587
4,Wildfire,1,1966,17,0,0,184408
4,Winter Weather,1,1966,2,2,0,245677
4,Winter Weather,1,1966,2,1,0,0
3,Flooding,1,1966,5,0,0,15859
3,Wildfire,1,1966,17,0,0,171537
3,Winter Weather,1,1966,2,3,0,209853
3,Winter Weather,1,1966,2,2,0,0
5,Flooding,1,1966,5,0,0,16992
5,Wildfire,1,1966,17,0,0,178774
5,Winter Weather,1,1966,2,2,0,220813
5,Winter Weather,1,1966,2,1,0,0
6,Severe Storm/Thunder Storm,3,1967,6,0,0,171503
1,Severe Storm/Thunder Storm,3,1967,6,0,0,173123
2,Severe Storm/Thunder Storm,3,1967,6,0,0,160269
4,Severe Storm/Thunder Storm,3,1967,6,0,0,173450
3,Severe Storm/Thunder Storm,3,1967,6,0,0,178688
5,Severe Storm/Thunder Storm,3,1967,6,0,0,173088
3,Severe Storm/Thunder Storm/ Wind,3,1968,1,0,0,739099
1,Severe Storm/Thunder Storm/ Winter Weather,1,1968,5,0,0,248621
2,Severe Storm/Thunder Storm/ Winter Weather,1,1968,5,0,0,240051
6,Severe Storm/Thunder Storm/ Winter Weather,1,1968,5,0,0,268708
3,Severe Storm/Thunder Storm/ Winter Weather,1,1968,5,0,0,254862
5,Severe Storm/Thunder Storm/ Winter Weather,1,1968,5,0,0,241537
6,Winter Weather,1,1969,3,0,0,160592
1,Winter Weather,1,1969,3,0,0,154200
1,Severe Storm/Thunder Storm,3,1969,1,0,0,776272
2,Winter Weather,1,1969,3,0,0,179732
4,Winter Weather,1,1969,3,11,0,155482
4,Wind/ Winter Weather,4,1969,1,2,2,29617
3,Winter Weather,1,1969,3,0,0,160474
3,Wind/ Winter Weather,4,1969,1,1,1,30790
5,Winter Weather,1,1969,3,0,0,158871
5,Wind/ Winter Weather,4,1969,1,2,2,33736
1,Severe Storm/Thunder Storm/ Wind,3,1970,1,0,0,788082
2,Hail/ Severe Storm/Thunder Storm/ Wind,3,1970,2,0,0,0
2,Coastal/ Hurricane/Tropical Storm/ Wind,4,1970,1,0,0,1127301
5,Wind,2,1970,1,0,2,163687
6,Severe Storm/Thunder Storm/ Wind/ Winter Weather,4,1971,1,0,0,157375
1,Winter Weather,1,1971,1,4,8,459526
1,Severe Storm/Thunder Storm/ Wind/ Winter Weather,4,1971,1,0,0,170400
2,Severe Storm/Thunder Storm/ Wind/ Winter Weather,4,1971,1,0,0,181479
2,Hurricane/Tropical Storm,3,1971,4,0,0,1058006
4,Hail/ Severe Storm/Thunder Storm/ Wind,2,1971,1,0,0,1348604
4,Severe Storm/Thunder Storm/ Wind/ Winter Weather,4,1971,1,0,0,183012
3,Hail/ Severe Storm/Thunder Storm/ Wind,2,1971,1,0,0,63657
3,Severe Storm/Thunder Storm,3,1971,1,0,0,718412
3,Severe Storm/Thunder Storm/ Wind/ Winter Weather,4,1971,1,0,12,173622
5,Hail/ Severe Storm/Thunder Storm/ Wind,2,1971,1,0,33,60750
5,Severe Storm/Thunder Storm/ Wind/ Winter Weather,4,1971,1,0,0,176293
6,Winter Weather,2,1972,30,0,0,0
6,Hurricane/Tropical Storm,2,1972,2,0,0,1777
1,Winter Weather,2,1972,30,0,0,0
1,Hurricane/Tropical Storm,2,1972,2,0,0,1694
1,Lightning/ Severe Storm/Thunder Storm/ Wind,3,1972,1,0,0,752811
2,Winter Weather,2,1972,30,0,0,0
2,Hurricane/Tropical Storm,2,1972,2,0,0,1574
4,Winter Weather,2,1972,30,0,0,0
4,Hurricane/Tropical Storm,2,1972,2,0,0,1598
3,Winter Weather,2,1972,30,0,0,0
3,Hurricane/Tropical Storm,2,1972,2,0,0,1552
5,Winter Weather,2,1972,30,0,0,0
5,Hurricane/Tropical Storm,2,1972,2,0,0,1626
6,Winter Weather,1,1973,2,0,0,160114
6,Flooding,1,1973,1,0,0,15894
6,Winter Weather,1,1973,2,3,0,1882757
1,Winter Weather,1,1973,2,0,0,166558
1,Flooding,1,1973,1,0,0,16026
1,Winter Weather,1,1973,2,2,0,1692878
1,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1973,1,0,0,3488
1,Winter Weather,2,1973,2,0,0,0
2,Winter Weather,1,1973,2,0,0,165335
2,Flooding,1,1973,1,0,0,16173
2,Winter Weather,1,1973,2,2,0,1778513
2,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1973,1,0,0,4072
4,Winter Weather,1,1973,2,0,0,182513
4,Flooding,1,1973,1,0,0,16841
4,Winter Weather,1,1973,2,2,0,1769898
3,Winter Weather,1,1973,2,0,0,186475
3,Flooding,1,1973,1,0,0,15541
3,Winter Weather,1,1973,2,3,0,1700977
5,Winter Weather,1,1973,2,0,0,166696
5,Flooding,1,1973,1,0,0,16792
5,Winter Weather,1,1973,2,3,0,1655144
6,Lightning/ Wind,1,1974,1,0,1,18552
6,Lightning/ Wind,2,1974,1,0,0,22214
6,Winter Weather,4,1974,2,0,0,20462
1,Lightning/ Wind,1,1974,1,0,2,18473
1,Winter Weather,1,1974,1,0,0,0
1,Hail/ Lightning/ Wind,1,1974,1,0,0,18482
1,Lightning/ Wind,2,1974,1,0,9,13104
1,Hail/ Wind,2,1974,1,0,5,126495
1,Lightning/ Wind,2,1974,1,0,0,22441
1,Winter Weather,4,1974,2,0,0,18944
2,Lightning/ Wind,1,1974,1,0,1,15869
2,Hail/ Lightning/ Wind,1,1974,1,0,0,17166
2,Hail/ Lightning/ Wind,2,1974,1,0,0,14582
2,Hail/ Severe Storm/Thunder Storm/ Wind,3,1974,1,0,0,148644
4,Lightning/ Wind,1,1974,1,0,1,18187
4,Hail/ Lightning/ Wind,1,1974,1,0,0,18156
4,Lightning/ Wind,2,1974,1,0,0,21686
4,Lightning/ Severe Storm/Thunder Storm/ Wind,2,1974,1,0,0,41407
4,Winter Weather,4,1974,2,0,0,21213
3,Lightning/ Wind,1,1974,1,0,1,15952
3,Hail/ Lightning/ Wind,1,1974,1,0,0,17811
3,Lightning/ Wind,2,1974,1,0,0,20918
3,Lightning/ Severe Storm/Thunder Storm/ Wind,2,1974,1,0,0,45086
3,Hail/ Severe Storm/Thunder Storm/ Wind,3,1974,1,0,0,145346
3,Winter Weather,4,1974,2,0,0,22087
5,Lightning/ Wind,1,1974,1,0,2,17402
5,Hail/ Lightning/ Wind,1,1974,1,0,0,18390
5,Lightning/ Wind,2,1974,1,0,0,19871
5,Lightning/ Severe Storm/Thunder Storm/ Wind,2,1974,1,0,0,37732
5,Winter Weather,4,1974,2,0,0,22276
2,Wind,1,1976,1,0,3,328027
4,Wind,1,1976,1,0,2,314421
5,Wind,1,1976,1,0,1,360291
4,Severe Storm/Thunder Storm/ Wind,1,1976,1,0,0,203513
2,Hail,2,1976,1,0,0,84958
1,Hail/ Lightning/ Wind,2,1976,1,0,0,9483
4,Hail/ Lightning/ Wind,2,1976,1,0,0,9280
1,Flooding,2,1976,2,7,27,2620856
1,Lightning,2,1976,1,0,0,41654
1,Flooding/ Severe Storm/Thunder Storm,4,1976,1,0,0,858306
1,Flooding/ Severe Storm/Thunder Storm,4,1976,2,0,4,1375553
6,Flooding,4,1976,11,0,0,172485
1,Flooding,4,1976,11,0,0,176500
2,Flooding,4,1976,11,0,0,161269
4,Flooding,4,1976,11,0,0,188302
3,Flooding,4,1976,11,0,0,159925
5,Flooding,4,1976,11,0,0,173967
4,Lightning/ Wind,4,1976,1,0,0,24087
3,Lightning/ Wind,4,1976,1,0,0,23321
5,Lightning/ Wind,4,1976,1,0,0,22049
2,Lightning/ Wind,4,1976,1,0,0,23350
2,Severe Storm/Thunder Storm/ Wind,1,1976,1,0,0,201888
1,Hail/ Lightning/ Wind,2,1977,1,0,0,42694
6,Lightning/ Wind,3,1977,1,0,0,18473
1,Lightning/ Wind,3,1977,1,0,0,15730
2,Lightning/ Wind,3,1977,1,0,0,18730
4,Lightning/ Wind,3,1977,1,0,0,18752
3,Lightning/ Wind,3,1977,1,0,0,18458
5,Lightning/ Wind,3,1977,1,0,0,16257
6,Drought/ Heat,3,1977,31,0,0,16050
1,Drought/ Heat,3,1977,31,0,0,18427
2,Drought/ Heat,3,1977,31,0,0,16348
4,Drought/ Heat,3,1977,31,0,0,15759
3,Drought/ Heat,3,1977,31,0,0,17161
5,Drought/ Heat,3,1977,31,0,0,17306
1,Flooding/ Severe Storm/Thunder Storm,4,1977,2,0,0,399192
2,Wind,1,1978,2,0,0,62197
6,Flooding/ Wind,1,1978,2,0,0,187802
1,Flooding/ Wind,1,1978,2,0,0,167420
2,Flooding/ Wind,1,1978,2,0,0,184287
4,Flooding/ Wind,1,1978,2,0,0,179394
3,Flooding/ Wind,1,1978,2,0,0,169263
5,Flooding/ Wind,1,1978,2,0,0,161337
2,Hail,1,1978,1,0,0,6711
6,Drought,2,1978,13,0,0,166
1,Drought,2,1978,13,0,0,181
2,Drought,2,1978,13,0,0,162
4,Drought,2,1978,13,0,0,184
3,Drought,2,1978,13,0,0,159
5,Drought,2,1978,13,0,0,157
1,Flooding/ Severe Storm/Thunder Storm,3,1978,2,0,0,2036585
6,Drought/ Heat,4,1978,31,0,0,1823
1,Drought/ Heat,4,1978,31,0,0,1635
2,Drought/ Heat,4,1978,31,0,0,1762
4,Drought/ Heat,4,1978,31,0,0,1553
3,Drought/ Heat,4,1978,31,0,0,1796
5,Drought/ Heat,4,1978,31,0,0,1589
6,Wind,1,1981,1,0,0,16827
1,Wind,1,1981,1,0,0,16829
2,Wind,1,1981,1,0,0,18530
4,Wind,1,1981,1,0,0,18821
3,Wind,1,1981,1,0,0,18635
5,Wind,1,1981,1,0,0,16240
2,Coastal/ Wind,1,1981,1,43,0,358928
3,Lightning/ Severe Storm/Thunder Storm/ Wind,3,1981,1,0,5,196875
2,Hurricane/Tropical Storm/ Severe Storm/Thunder Storm,3,1981,1,0,0,2381419
2,Coastal/ Flooding,4,1981,4,0,0,113525
1,Winter Weather,4,1981,1,0,0,119996
1,Winter Weather,1,1984,1,0,0,28137
2,Winter Weather,1,1984,1,0,0,27141
3,Winter Weather,1,1984,1,0,0,30353
5,Winter Weather,1,1984,1,0,0,25998
5,Lightning,1,1984,1,0,0,772785
6,Flooding/ Severe Storm/Thunder Storm/ Wind,1,1984,1,0,0,16953
1,Flooding/ Severe Storm/Thunder Storm/ Wind,1,1984,1,0,0,18120
2,Flooding/ Severe Storm/Thunder Storm/ Wind,1,1984,1,0,0,18167
4,Flooding/ Severe Storm/Thunder Storm/ Wind,1,1984,1,0,0,17574
3,Flooding/ Severe Storm/Thunder Storm/ Wind,1,1984,1,0,0,18907
5,Flooding/ Severe Storm/Thunder Storm/ Wind,1,1984,1,0,0,16167
1,Hail/ Wind,1,1984,1,0,0,769139
3,Hail,1,1984,1,0,0,373116
4,Flooding/ Severe Storm/Thunder Storm,2,1984,1,11,0,745519
6,Drought,2,1984,20,0,0,0
1,Drought,2,1984,20,0,0,0
2,Drought,2,1984,20,0,0,0
4,Drought,2,1984,20,0,0,0
3,Drought,2,1984,20,0,0,0
5,Drought,2,1984,20,0,0,0
6,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1984,1,0,0,16446
1,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1984,1,0,0,18855
2,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1984,1,0,0,16150
4,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1984,1,0,0,16817
3,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1984,1,0,0,17533
5,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1984,1,0,0,18397
3,Flooding/ Lightning/ Severe Storm/Thunder Storm,2,1984,1,0,36,396894
1,Flooding/ Lightning/ Wind,3,1984,1,0,24,822956
1,Lightning,3,1984,1,0,0,735215
4,Flooding/ Severe Storm/Thunder Storm,3,1984,1,0,0,834449
4,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,3,1984,1,0,0,801635
3,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,3,1984,1,0,38,845070
5,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,3,1984,1,0,0,867738
6,Flooding/ Severe Storm/Thunder Storm/ Wind,3,1984,1,0,2,17610
1,Flooding/ Severe Storm/Thunder Storm/ Wind,3,1984,1,0,2,17145
2,Flooding/ Severe Storm/Thunder Storm/ Wind,3,1984,1,0,3,18881
4,Flooding/ Severe Storm/Thunder Storm/ Wind,3,1984,1,0,1,16667
3,Flooding/ Severe Storm/Thunder Storm/ Wind,3,1984,1,0,2,16178
5,Flooding/ Severe Storm/Thunder Storm/ Wind,3,1984,1,0,1,18368
2,Flooding/ Lightning/ Severe Storm/Thunder Storm,3,1984,1,0,0,26985
4,Flooding/ Lightning/ Severe Storm/Thunder Storm,3,1984,1,0,0,26903
3,Flooding/ Lightning/ Severe Storm/Thunder Storm,3,1984,1,0,0,25091
5,Flooding/ Lightning/ Severe Storm/Thunder Storm,3,1984,1,0,0,27105
2,Hurricane/Tropical Storm,3,1984,5,0,0,1335526
2,Flooding/ Wind,4,1984,13,0,0,140986
6,Winter Weather,1,1985,5,3,0,163129
1,Winter Weather,1,1985,5,3,0,166696
2,Winter Weather,1,1985,5,4,0,187923
4,Winter Weather,1,1985,5,4,0,182530
3,Winter Weather,1,1985,5,4,0,175397
5,Winter Weather,1,1985,5,4,0,181806
2,Drought,1,1985,31,0,0,1144
6,Hail/ Severe Storm/Thunder Storm/ Wind/ Winter Weather,1,1985,2,0,0,15957
1,Hail/ Severe Storm/Thunder Storm/ Wind/ Winter Weather,1,1985,2,0,0,16033
